Chinese	Pinyin	POS	Thai
啊	ā	interj	อ้า/อ๋อ
爱情	àiqíng	n	ความรัก
爱心	àixīn	n	ความเมตตา/น้ำใจ
按	àn	v/prep	กด/ตาม
安检	ānjiǎn	v	ตรวจความปลอดภัย
安排	ānpái	v	จัดการ/จัดเตรียม
按时	ànshí	adv	ตรงเวลา
按照	ànzhào	prep	ตามที่/ตาม
白酒	báijiǔ	n	เหล้าขาวจีน
棒	bàng	adj/n	เก่ง/ดีมาก
办公	bàngōng	v	ทำงานสำนักงาน
办理	bànlǐ	v	ดำเนินการ
办事	bànshì	v	จัดการเรื่อง
抱	bào	v	กอด
保护	bǎohù	v	ปกป้อง/คุ้มครอง
报考	bàokǎo	v	สมัครสอบ
报名	bàomíng	v	ลงทะเบียน
抱歉	bàoqiàn	adj	เสียใจ/ขอโทษ
保证	bǎozhèng	v/n	รับประกัน
倍	bèi	mw	เท่า
背	bēi	v	แบก
背包	bēibāo	n	กระเป๋าเป้
北部	běibù	n	ภาคเหนือ
笨	bèn	adj	โง่/ทึ่ม
本科	běnkē	n	ปริญญาตรี
本来	běnlái	adj/adv	เดิมที/แต่แรก
便于	biànyú	v	สะดวกต่อ
表	biǎo	n/v	ตาราง/นาฬิกา/แสดง
表格	biǎogé	n	แบบฟอร์ม/ตาราง
表示	biǎoshì	v	แสดงออก/บ่งบอก
表现	biǎoxiàn	v	แสดง/ประพฤติ
表扬	biǎoyáng	v	ชมเชย
标准	biāozhǔn	n/adj	มาตรฐาน
并	bìng	v/adv/conj	แล/ยิ่ง
饼干	bǐnggān	n	บิสกิต/คุกกี้
并且	bìngqiě	conj	และ/อีกทั้ง
笔试	bǐshì	v	การสอบข้อเขียน/สอบข้อเขียน
毕业	bìyè	v	จบการศึกษา
毕业生	bìyèshēng	n	บัณฑิต
鼻子	bízi	n	จมูก
播放	bōfàng	v	เปิด (เพลง/วิดีโอ)
博士	bóshì	n	ปริญญาเอก
步	bù	n	ก้าว/ขั้นตอน
部	bù	n/mw	กระทรวง/ส่วน
不必	búbì	adv	ไม่จำเป็นต้อง
不便	búbiàn	adj/v	ไม่สะดวก
不得不	bùdébù	adv	จำเป็นต้อง
不断	búduàn	v/adv	ต่อเนื่อง/ไม่หยุด
部分	bùfen	n	ส่วน/บางส่วน
不够	búgòu	v/adv	ไม่พอ
不管	bùguǎn	conj	ไม่ว่า
不光	bùguāng	adv/conj	ไม่เพียงแต่
不过	búguò	conj/adv	แต่ว่า
不仅	bùjǐn	conj	ไม่เพียงแต่
不论	búlùn	conj	ไม่ว่า
不满	bùmǎn	adj	ไม่พอใจ
部门	bùmén	n	แผนก/ฝ่าย
不如	bùrú	v	ไม่เท่ากับ/สู้...ไม่ได้
擦	cā	v	เช็ด/ถู
猜	cāi	v	เดา
材料	cáiliào	n	วัสดุ/เนื้อหา
参观	cānguān	v	เยี่ยมชม
参赛	cānsài	v	เข้าร่วมการแข่งขัน
餐厅	cāntīng	n	ห้องอาหาร
操场	cāochǎng	n	สนามกีฬา/สนามโรงเรียน
厕所	cèsuǒ	n	ห้องน้ำ
查看	chákàn	v	ตรวจดู
厂	chǎng	n	โรงงาน
场	chǎng	mw	รอบ/ครั้ง (การแสดง)
产生	chǎnshēng	v	ก่อให้เกิด
超过	chāoguò	v	เกินกว่า/แซง
茶叶	cháyè	n	ใบชา
差（一）点儿	chà(yì)diǎnr	adj/adv	เกือบจะ
查找	cházhǎo	v	ค้นหา
城	chéng	n	เมือง
乘	chéng	v	ขึ้น (ยานพาหนะ)
成功	chénggōng	v/adj	ประสบความสำเร็จ
乘客	chéngkè	n	ผู้โดยสาร
诚实	chéngshí	adj	ซื่อสัตย์
成为	chéngwéi	v	กลายเป็น
乘坐	chéngzuò	v	โดยสาร
车速	chēsù	n	ความเร็วรถ
车位	chēwèi	n	ที่จอดรถ
迟	chí	adj	ช้า/สาย
吃惊	chījīng	v	ตกใจ
重	chóng	adv	ซ้ำ/อีกครั้ง
重新	chóngxīn	adv	ใหม่/เริ่มต้นใหม่
窗	chuāng	n	หน้าต่าง
窗户	chuānghu	n	หน้าต่าง
出差	chūchāi	v	เดินทางเพื่อธุรกิจ
厨房	chúfáng	n	ห้องครัว
吹	chuī	v	เป่า
出口	chūkǒu	n/v	ทางออก
厨师	chúshī	n	พ่อครัว/แม่ครัว
出现	chūxiàn	v	ปรากฏ/เกิดขึ้น
出行	chūxíng	v	เดินทาง
出租	chūzū	v	ให้เช่า
此	cǐ	pron	นี้
此次	cǐcì	expr	ครั้งนี้
此外	cǐwài	conj	นอกจากนี้
词语	cíyǔ	n	คำศัพท์/วลี
从此	cóngcǐ	adv	ตั้งแต่นั้น
从来	cónglái	adv	เสมอมา/ไม่เคย
从中	cóngzhōng	adv	จาก.../จากสิ่งนั้น
粗	cū	adj	หยาบ/หนา
存	cún	v	เก็บ/ฝาก
村	cūn	n	หมู่บ้าน
错过	cuòguò	v	พลาด
错误	cuòwù	adj/n	ผิดพลาด/ข้อผิดพลาด
