Chinese	Pinyin	POS	Thai
爱	ài	v	รัก
吧	ba	part	เถอะ,ไหม
八	bā	num	แปด
爸爸	bàba	n	พ่อ
百	bǎi	num	ร้อย
白天	báitiān	n	กลางวัน
半	bàn	num	ครึ่ง
包子	bāozi	n	ซาลาเปา
杯子	bēizi	n	แก้ว
本	běn	mw	เล่ม
边	biān	n	ด้าน/ข้าง
病	bìng	n/v	โรค/ป่วย
不	bù	adv	ไม่
不客气	bú kèqi	expr	ด้วยความยินดี
不要	búyào	adv	อย่า,ไม่เอา
菜	cài	n	ผัก/อาหาร
茶	chá	n	ชา
唱	chàng	v	ร้องเพลง
超市	chāoshì	n	ซูเปอร์มาร์เก็ต
车	chē	n	รถ
吃	chī	v	กิน
穿	chuān	v	สวมใส่
出租车	chūzūchē	n	แท็กซี่
大	dà	adj	ใหญ่
打电话	dǎ diànhuà	expr	โทรศัพท์
大家	dàjiā	pron	ทุกคน
到	dào	v	ถึง
大学	dàxué	n	มหาวิทยาลัย
大学生	dàxuéshēng	n	นักศึกษา
的	de	part	ของ
第	dì	prefix	ที่ (อันดับ)
店	diàn	n	ร้าน
点	diǎn	mw	โมง/จุด
电话	diànhuà	n	โทรศัพท์
电脑	diànnǎo	n	คอมพิวเตอร์
电视	diànshì	n	โทรทัศน์
电影	diànyǐng	n	ภาพยนตร์
电影院	diànyǐngyuàn	n	โรงภาพยนตร์
弟弟	dìdi	n	น้องชาย
东西	dōngxi	n	ของ/สิ่งของ
都	dōu	adv	ทั้งหมด/ต่างก็
读	dú	v	อ่าน
对	duì	adj/prep	ถูก/ต่อ
对不起	duìbuqǐ	v	ขอโทษ
多	duō	adj	มาก
多少	duōshao	pron	เท่าไหร่
读书	dúshū	v	อ่านหนังสือ
二	èr	num	สอง
儿子	érzi	n	ลูกชาย
饭	fàn	n	ข้าว/อาหาร
饭店	fàndiàn	n	ร้านอาหาร/โรงแรม
房间	fángjiān	n	ห้อง
非常	fēicháng	adv	อย่างยิ่ง/มาก
飞机	fēijī	n	เครื่องบิน
分	fēn	mw	นาที/แต้ม/เปอร์เซ็นต์
分钟	fēnzhōng	mw	นาที
高兴	gāoxìng	adj	ดีใจ
个	gè	mw	อัน/คน
歌	gē	n	เพลง
哥哥	gēge	n	พี่ชาย
给	gěi	v/prep	ให้
公司	gōngsī	n	บริษัท
工作	gōngzuò	v/n	ทำงาน/งาน
狗	gǒu	n	สุนัข
贵	guì	adj	แพง
国	guó	n	ประเทศ
还	hái	adv	ยังคง/อีก
孩子	háizi	n	เด็ก
汉语	Hànyǔ	n	ภาษาจีน
汉字	Hànzì	n	อักษรจีน
号	hào	n/mw	วันที่/หมายเลข
好	hǎo	adj	ดี
好吃	hǎochī	adj	อร่อย
好看	hǎokàn	adj	สวย/น่าดู
好听	hǎotīng	adj	ไพเราะ
好玩儿	hǎowánr	adj	สนุก
和	hé	prep/conj	และ/กับ
喝	hē	v	ดื่ม
很	hěn	adv	มาก/อย่าง
后	hòu	n	หลัง
回	huí	v	กลับ
会	huì	v	สามารถ/จะ
火车	huǒchē	n	รถไฟ
几	jǐ	pron/num	กี่
家	jiā	n/mw	บ้าน/ครอบครัว
见	jiàn	v	พบ/เห็น
件	jiàn	mw	ชิ้น (ลักษณนาม เสื้อผ้า)
叫	jiào	v	ชื่อว่า/เรียก
饺子	jiǎozi	n	เกี๊ยว
家人	Jaren	n	คนในครอบครัว
鸡蛋	jīdàn	n	ไข่ไก่
姐姐	jiějie	n	พี่สาว
今年	jīnnián	n	ปีนี้
今天	jīntiān	n	วันนี้
九	jiǔ	num	เก้า
觉得	juéde	v	รู้สึก
开	kāi	v	เปิด
开车	kāichē	v	ขับรถ
看	kàn	v	ดู/อ่าน
看病	kànbìng	v	ไปหาหมอ
看见	kànjiàn	v	มองเห็น
课	kè	n	บทเรียน/ชั้นเรียน
可以	kěyǐ	v/adj	ได้/สามารถ
口	kǒu	n/mw	ปาก/คน (ครอบครัว)
块	kuài	mw	หยวน
来	lái	v	มา
老师	lǎoshī	n	ครู
了	le	part	แล้ว
冷	lěng	adj	เย็น/หนาว
里	lǐ	n	ใน
两	liǎng	num	สอง (คู่)
零	líng	num	ศูนย์
六	liù	num	หก
吗	ma	part	ไหม
卖	mài	v	ขาย
买	mǎi	v	ซื้อ
妈妈	māma	n	แม่
忙	máng	adj/v	ยุ่ง
猫	māo	n	แมว
没关系	méiguānxi	expr	ไม่เป็นไร(ใช้ตอบ:เมื่อมีคนขอโทษ)
没事	méishì	v	ไม่เป็นไร(ใช้ตอบ:เมื่อมีคนขอโทษ/เมื่อมีคนถามว่าเป็นอะไรไหม)
没有	méiyǒu	v/adv	ไม่มี
妹妹	mèimei	n	น้องสาว
们	men	suffix	พวก
面包	miànbāo	n	ขนมปัง
面条儿	miàntiáor	n	เส้นก๋วยเตี๋ยว
米饭	mǐfàn	n	ข้าวสวย
明年	míngnián	n	ปีหน้า
明天	míngtiān	n	พรุ่งนี้
名字	míngzi	n	ชื่อ
那	nà	pron	นั้น
哪	nǎ	pron	ไหน
那边	nàbiān	pron	ที่นั่น/ข้างนั้น
那个	nàge	pron	อันนั้น
哪个	nǎge	pron	อันไหน
那里	nàlǐ	pron	ที่นั่น
哪里	nǎlǐ	pron	ที่ไหน
男	nán	adj	ชาย
男朋友	nánpéngyou	n	แฟนผู้ชาย
那儿	nàr	pron	ที่นั่น
哪儿	nǎr	pron	ที่ไหน
那些	nàxiē	pron	พวกนั้น
哪些	nǎxiē	pron	พวกไหน
呢	ne	part	นะ/ล่ะ
能	néng	v	สามารถ
你	nǐ	pron	คุณ
你好	nǐ hǎo	expr	สวัสดี
年	nián	n/mw	ปี
你们	nǐmen	pron	พวกคุณ
您	nín	pron	ท่าน
牛奶	niúnǎi	n	นม
女	nǚ	adj	หญิง
女儿	nǚ'ér	n	ลูกสาว
女朋友	nǚpéngyou	n	แฟนผู้หญิง
女士	nǚshì	n	คุณผู้หญิง/นางสาว
朋友	péngyou	n	เพื่อน
便宜	piányi	adj	ถูก
漂亮	piàoliang	adj	สวยงาม
苹果	píngguǒ	n	แอปเปิ้ล
七	qī	num	เจ็ด
前	qián	n	หน้า
钱	qián	n	เงิน
千	qiān	num	พัน (จำนวน)
起床	qǐchuáng	v	ตื่นนอน
请	qǐng	v	กรุณา/เชิญ
请问	qǐngwèn	v	ขอถาม
去	qù	v	ไป
去年	qùnián	n	ปีที่แล้ว
热	rè	adj	ร้อน
人	rén	n	คน
认识	rènshi	v	รู้จัก
日	rì	mw/n	วัน
三	sān	num	สาม
上	shàng	n/v	บน/ขึ้น
上班	shàngbān	v	ไปทำงาน
商店	shāngdiàn	n	ร้านค้า
上课	shàngkè	v	เข้าเรียน
上午	shàngwǔ	n	เช้า
上学	shàngxué	v	ไปโรงเรียน
少	shǎo	adj/v	น้อย
谁	shéi/shuí	pron	ใคร
生病	shēngbìng	v	ป่วย
什么	shénme	pron	อะไร
十	shí	num	สิบ
事	shì	n	เรื่อง/งาน
是	shì	v	เป็น/ใช่
时候	shíhou	n	เวลา/ช่วง
时间	shíjiān	n	เวลา
手机	shǒujī	n	โทรศัพท์มือถือ
书	shū	n	หนังสือ
书店	shūdiàn	n	ร้านหนังสือ
睡	shuì	v	นอน
水	shuǐ	n	น้ำ
水果	shuǐguǒ	n	ผลไม้
睡觉	shuìjiào	v	นอนหลับ
说	shuō	v	พูด
说话	shuōhuà	v	พูดคุย
四	sì	num	สี่
岁	suì	mw	อายุ/ปี
他	tā	pron	เขา (ชาย)
它	tā	pron	มัน
她	tā	pron	เธอ
太	tài	adv	เกินไป
他们	tāmen	pron	พวกเขา
它们	tāmen	pron	พวกมัน
她们	tāmen	pron	พวกเธอ
天	tiān	n/mw	วัน/ฟ้า
天气	tiānqì	n	อากาศ
