Chinese	Pinyin	POS	Thai
矮	ǎi	adj	เตี้ย
爱人	àiren	n	คู่รัก/สามี/ภรรยา
安静	ānjìng	adj	เงียบ
安全	ānquán	adj	ปลอดภัย
阿姨	āyí	n	ป้า/น้า
把	bǎ	mw/prep	ด้ามจับ/ให้ (บุรพบทกรรม)
办	bàn	v	จัดการ
搬	bān	v	ย้าย
办法	bànfǎ	n	วิธีการ
办公室	bàngōngshì	n	ห้องทำงาน
帮助	bāngzhù	v	ช่วยเหลือ
班级	bānjí	n	ชั้นเรียน
搬家	bānjiā	v	ย้ายบ้าน
半天	bàntiān	num+mw	ครึ่งวัน/นานมาก
饱	bǎo	adj	อิ่ม
报纸	bàozhǐ	n	หนังสือพิมพ์
被	bèi	prep	ถูก (passive marker)
北	běi	n	เหนือ
北方	běifāng	n	ภาคเหนือ
变	biàn	v	เปลี่ยน
遍	biàn	mw	ครั้ง (ตั้งแต่ต้นจนจบ)
变成	biànchéng	v	กลายเป็น
变化	biànhuà	v/n	เปลี่ยนแปลง
表演	biǎoyǎn	v	แสดง/การแสดง
别的	biéde	pron	อื่นๆ
别人	biérén	pron	คนอื่น
笔记	bǐjì	n	บันทึก
比较	bǐjiào	v/prep/adv	เปรียบเทียบ/ค่อนข้าง
笔记本	bǐjìběn	n	สมุดบันทึก
冰	bīng	n/v	น้ำแข็ง
冰激凌	bīngjīlíng	n	ไอศกรีม
病人	bìngrén	n	ผู้ป่วย
宾馆	bīnguǎn	n	โรงแรม
冰箱	bīngxiāng	n	ตู้เย็น
比如	bǐrú	v	เช่น/ยกตัวอย่างเช่น
比赛	bǐsài	v/n	แข่งขัน
必须	bìxū	adv	ต้อง (บังคับ)
不同	bù tóng	expr	ไม่เหมือนกัน
不但	búdàn	conj	ไม่เพียงแต่
不见	bújiàn	v	หายไป/ไม่พบ
不久	bùjiǔ	adj	ไม่นาน
不行	bùxíng	v/adj	ไม่ได้/ใช้ไม่ได้
不用	búyòng	adv	ไม่ต้อง
才	cái	adv	เพิ่ง/แค่
菜单	càidān	n	เมนูอาหาร
参加	cānjiā	v	เข้าร่วม
草	cǎo	n	หญ้า
草地	cǎodì	n	ทุ่งหญ้า
层	céng	mw	ชั้น (อาคาร)
查	chá	v	ค้นหา/ตรวจสอบ
差	chà	adj/v	แตกต่าง/ขาด
差不多	chàbuduō	adj/adv	เกือบเหมือน/ประมาณ
尝	cháng	v	ชิม
常	cháng	adv	บ่อยๆ
常见	cháng jiàn	expr	พบบ่อย/ธรรมดา
常用	cháng yòng	expr	ใช้บ่อย
常常	chángcháng	adv	บ่อยๆ/มักจะ
成绩	chéngjì	n	ผลการเรียน/คะแนน
城市	chéngshì	n	เมือง
衬衫	chènshān	n	เสื้อเชิ้ต
迟到	chídào	v	มาสาย
船	chuán	n	เรือ
出发	chūfā	v	ออกเดินทาง
除了	chúle	prep	นอกจาก
春天	chūntiān	n	ฤดูใบไม้ผลิ
出生	chūshēng	v	เกิด
出院	chūyuàn	v	ออกจากโรงพยาบาล
初中	chūzhōng	n	มัธยมต้น
词典	cídiǎn	n	พจนานุกรม
聪明	cōngmíng	adj	ฉลาด
大概	dàgài	adj/adv/n	ประมาณ
带	dài	v/n	นำ/พา
蛋糕	dàngāo	n	เค้ก
当然	dāngrán	adv	แน่นอน
担心	dānxīn	v	เป็นห่วง
到处	dàochù	adv	ทั่วทุกที่
大人	dàren	n	ผู้ใหญ่
打扫	dǎsǎo	v	ทำความสะอาด
打算	dǎsuàn	v/n	วางแผน
大小	dàxiǎo	n	ขนาด
大熊猫	dàxióngmāo	n	แพนด้า
大衣	dàyī	n	เสื้อโค้ท
得	dé	v	ได้รับ
得到	dédào	v	ได้รับ
得分	défēn	v/n	ได้คะแนน
的话	dehuà	part	ถ้าหาก
得	děi	v	ต้อง
灯	dēng	n	ไฟ/โคมไฟ
地	dì	n	พื้น/ดิน
电	diàn	n/v	ไฟฟ้า
电梯	diàntī	n	ลิฟต์
电子书	diànzǐshū	n	หนังสืออิเล็กทรอนิกส์
地点	dìdiǎn	n	สถานที่
地方	dìfang	n	ที่/สถานที่
地图	dìtú	n	แผนที่
丢	diū	v	ทำหาย
东	dōng	n	ตะวันออก
东北	dōngběi	n	ตะวันออกเฉียงเหนือ
懂得	dǒngde	v	เข้าใจ
东方	dōngfāng	n	ตะวันออก
东南	dōngnán	n	ตะวันออกเฉียงใต้
冬天	dōngtiān	n	ฤดูหนาว
动物	dòngwù	n	สัตว์
动物园	dòngwùyuán	n	สวนสัตว์
段	duàn	mw	ช่วง/ตอน
短	duǎn	adj	สั้น
短裤	duǎnkù	n	กางเกงขาสั้น
锻炼	duànliàn	v	ออกกำลังกาย
对话	duìhuà	v	บทสนทนา
饿	è	adj	หิว
耳朵	ěrduo	n	หู
耳机	ěrjī	n	หูฟัง
而且	érqiě	conj	และยิ่งกว่านั้น
发	fā	v	ส่ง/ออก
放	fàng	v	วาง
方便	fāngbiàn	adj	สะดวก
方便面	fāngbiànmiàn	n	บะหมี่กึ่งสำเร็จรูป
方法	fāngfǎ	n	วิธีการ
放假	fàngjià	v	หยุดพัก/ปิดเทอม
方向	fāngxiàng	n	ทิศทาง
放心	fàngxīn	v	วางใจ/สบายใจ
放学	fàngxué	v	เลิกเรียน
房子	fángzi	n	บ้าน
发烧	fāshāo	v	เป็นไข้
发生	fāshēng	v	เกิดขึ้น
发现	fāxiàn	v	ค้นพบ
发展	fāzhǎn	v	พัฒนา
风	fēng	n	ลม
封	fēng	mw/v	ซอง (จดหมาย)
分开	fēnkāi	v	แยกออก
附近	fùjìn	n	ใกล้เคียง/แถวนั้น
夫妻	fūqī	n	คู่สามีภรรยา
服务	fúwù	v	บริการ
复习	fùxí	v	ทบทวน
该	gāi	v	ควร/ถึงคราว
