Chinese	Pinyin	POS	Thai
啊	a	part	อ้อ/อ่า
爱好	àihào	v/n	งานอดิเรก/ความชอบ
白色	báisè	n	สีขาว
班	bān	n/mw	ชั้นเรียน
帮	bāng	v	ช่วย
帮忙	bāngmáng	v	ช่วยเหลือ
包	bāo	v/n/mw	ห่อ/กระเป๋า
本子	běnzi	n	สมุด
比	bǐ	v/prep	เปรียบเทียบ/กว่า
笔	bǐ	n/mw	ปากกา/(หน่วยวัดเครื่องเขียน)
别	bié	adv	อย่า
不好意思	bùhǎoyìsi	expr	ขอโทษ
不错	búcuò	adj	ไม่เลว/ดีทีเดียว
长	cháng	adj	ยาว
车站	chēzhàn	n	สถานีรถ
出	chū	v	ออก
床	chuáng	n	เตียง
出国	chūguó	v	ออกนอกประเทศ
出来	chūlái	v	ออกมา
出门	chūmén	v	ออกจากบ้าน/ออกไปข้างนอก
出去	chūqù	v	ออกไป
词	cí	n	คำศัพท์
次	cì	mw	ครั้ง
从	cóng	prep	จาก
从小	cóngxiǎo	adv	ตั้งแต่เด็ก
错	cuò	adj	ผิด
打	dǎ	v	ตี/ทำ
打车	dǎchē	v	เรียกแท็กซี่/เรียกรถ
打开	dǎkāi	v	เปิด
但	dàn	conj	แต่
但是	dànshì	conj	แต่ว่า
得	de	part	ได้../จน..(แสดงระดับหรือผลการกระทำของกริยา)
地	de	part	อย่าง../แบบ..
等	děng	v/prep	รอ
点	diǎn	v/n/mw	สั่ง (อาหาร)/จุด
地铁	dìtiě	n	รถไฟใต้ดิน
动	dòng	v	เคลื่อนไหว
懂	dǒng	v	เข้าใจ
饭馆	fànguǎn	n	ร้านอาหาร
飞	fēi	v	บิน
高	gāo	adj/n	สูง
告诉	gàosu	v	บอก
高中	gāozhōng	n	มัธยมปลาย
跟	gēn	prep/conj	ตาม
个子	gèzi	n	รูปร่าง/ส่วนสูง
公交车	gōngjiāochē	n	รถประจำทาง
过	guo	part	เคย...มาแล้ว(บอกประสบการณ์)
过	guò	v	ผ่าน,ข้าม
过来	guòlái	v	มาหา
过年	guònián	v	ฉลองปีใหม่
过去	guòqù	v	ผ่านไป
还是	háishi	adv/conj	หรือ/ยังคง
黑色	hēisè	n	สีดำ
红茶	hóngchá	n	ชาแดง
红色	hóngsè	n	สีแดง
后面	hòumiàn	n	ข้างหลัง
画	huà	v/n	วาด/ภาพ
花	huā	v	ใช้ (เงิน/เวลา)
花	huā	n	ดอกไม้
坏	huài	adj	เสีย/แย่
回来	huílái	v	กลับมา
回去	huíqù	v	กลับไป
间	jiān	mw/n	ห้อง/ช่วง
教	jiāo	v	สอน
教室	jiàoshì	n	ห้องเรียน
机场	jīchǎng	n	สนามบิน
记得	jìde	v	จำได้
介绍	jièshào	v	แนะนำ(ตัวให้รู้จัก)
进	jìn	v	เข้า
近	jìn	adj	ใกล้
经常	jīngcháng	adv	บ่อยๆ
进来	jìnlái	v	เข้ามา
进去	jìnqù	v	เข้าไป
机票	jīpiào	n	ตั๋วเครื่องบิน
就	jiù	adv	ก็/แล้วก็
酒店	jiǔdiàn	n	โรงแรม
咖啡	kāfēi	n	กาแฟ
开始	kāishǐ	v/n	เริ่ม
开学	kāixué	v	เปิดเทอม
考	kǎo	v	สอบ
考试	kǎoshì	v/n	สอบ/การสอบ
可能	kěnéng	adj/n/v	อาจจะ
快	kuài	adj/adv	เร็ว
快乐	kuàilè	adj	มีความสุข
快要	kuàiyào	adv	กำลังจะ
裤子	kùzi	n	กางเกง
篮球	lánqiú	n	บาสเก็ตบอล
累	lèi	adj/v	เหนื่อย
离	lí	v	ห่างจาก
里面	lǐmiàn	n	ด้านใน
楼	lóu	n	ตึก/ชั้น
路	lù	n	ถนน
绿茶	lǜchá	n	ชาเขียว
绿色	lǜsè	n	สีเขียว
路上	lùshang	n	บนถนน/ระหว่างทาง
旅游	lǚyóu	v	ท่องเที่ยว
慢	màn	adj	ช้า
每	měi	pron/adv	ทุก
没意思	méi yìsi	expr	น่าเบื่อ
门	mén	n	ประตู
门口	ménkǒu	n	ทางเข้า/ปากประตู
门票	ménpiào	n	ตั๋วเข้าชม
面	miàn	suffix	ด้าน
名	míng	n/mw	ชื่อ/คน
拿	ná	v	หยิบ/ถือ
奶茶	nǎichá	n	ชานม
奶奶	nǎinai	n	ย่า/ยาย
那么	nàme	pron/conj	นั้น/ดังนั้น
男孩儿	nánháir	n	เด็กผู้ชาย
那样	nàyàng	pron	แบบนั้น
鸟	niǎo	n	นก
女孩儿	nǚháir	n	เด็กผู้หญิง
旁边	pángbiān	n	ข้างๆ
跑	pǎo	v	วิ่ง
跑步	pǎobù	v	วิ่งออกกำลังกาย
票	piào	n	ตั๋ว
前面	qiánmiàn	n	ด้านหน้า
起来	qǐlái	v	ลุกขึ้น
晴	qíng	adj	ฟ้าแจ่มใส
球	qiú	n	ลูกบอล/ทรงกลม
妻子	qīzi	n	ภรรยา
让	ràng	v/prep	ให้/อนุญาต
肉	ròu	n	เนื้อ
商场	shāngchǎng	n	ห้างสรรพสินค้า
上来	shànglái	v	ขึ้นมา
上面	shàngmiàn	n	ด้านบน
上去	shàngqù	v	ขึ้นไป
上网	shàngwǎng	v	ท่องอินเทอร์เน็ต
生日	shēngrì	n	วันเกิด
身体	shēntǐ	n	ร่างกาย
时	shí	n/mw	เวลา
事情	shìqing	n	เรื่อง/เรื่องราว
手	shǒu	n	มือ
手表	shǒubiǎo	n	นาฬิกาข้อมือ
书包	shūbāo	n	กระเป๋านักเรียน
舒服	shūfu	adj	สบาย
送	sòng	v	ส่ง/ให้ของขวัญ
虽然	suīrán	conj	แม้ว่า
所以	suǒyǐ	conj	ดังนั้น
疼	téng	adj/v	เจ็บปวด
题	tí	n	โจทย์/หัวข้อ
踢	tī	v	เตะ
条	tiáo	mw/n	(คำนามหรือลักษณนามของสิ่งที่เป็นเส้นยาว)
跳舞	tiàowǔ	v	เต้นรำ
头	tóu	n/mw	ศีรษะ
外国	wàiguó	n	ต่างประเทศ
外面	wàimiàn	n	ด้านนอก
完	wán	v	เสร็จ
万	wàn	num	หมื่น
忘	wàng	v	ลืม
往	wǎng	v/prep	ไปทาง/ไปยัง
网上	wǎngshang	n	บนอินเทอร์เน็ต
位	wèi	mw	ท่าน (ลักษณนามของคน)
为什么	wèi shénme	expr	ทำไม
洗	xǐ	v	ล้าง
下来	xiàlái	v	ลงมา
下面	xiàmiàn	n	ด้านล่าง
笑	xiào	v	หัวเราะ/ยิ้ม
小孩儿	xiǎoháir	n	เด็กเล็ก
小时候	xiǎoshíhou	n	สมัยเด็ก
下去	xiàqù	v	ลงไป
姓	xìng	n/v	นามสกุล
姓名	xìngmíng	n	ชื่อนามสกุล
洗手间	xǐshǒujiān	n	ห้องน้ำ
希望	xīwàng	v	หวัง
眼睛	yǎnjing	n	ตา
颜色	yánsè	n	สี
药	yào	n	ยา
药店	yàodiàn	n	ร้านขายยา
爷爷	yéye	n	ปู่/ตา
一会儿	yíhuìr	num+mw	สักครู่
已经	yǐjīng	adv	แล้ว/เรียบร้อยแล้ว
阴	yīn	adj	มีเมฆ
因为	yīnwèi	prep/conj	เพราะว่า
一起	yìqǐ	adv	ด้วยกัน
意思	yìsi	n	ความหมาย
游	yóu	v	เคลื่อนที่ไปมา,ว่าย,เที่ยว
右	yòu	n	ขวา
有意思	yǒuyìsi	expr	น่าสนใจ
右边	yòubian	n	ด้านขวา
有时候	yǒushíhou	adv	บางครั้ง
游泳	yóuyǒng	v	ว่ายน้ำ
鱼	yú	n	ปลา
远	yuǎn	adj	ไกล
运动	yùndòng	v/n	ออกกำลังกาย/กีฬา
站	zhàn	n	สถานี
丈夫	zhàngfu	n	สามี
着	zhe	part	อยู่(ผลหรือสภาพที่ยังคงอยู่)
这么	zhème	pron	แบบนี้
正	zhèng	adv/adj	กำลัง.../ตรง
这样	zhèyàng	pron	แบบนี้
周	zhōu	n/mw	สัปดาห์; รอบ; ลักษณนาม: รอบ
准备	zhǔnbèi	v	เตรียม
自己	zìjǐ	pron	ตัวเอง
走	zǒu	v	เดิน/ไป
走路	zǒulù	v	เดินเท้า
最	zuì	adv	ที่สุด
左	zuǒ	n	ซ้าย
左边	zuǒbian	n	ด้านซ้าย
足球	zúqiú	n	ฟุตบอล
