Chinese	Pinyin	POS	Thai
唉	ài	interj	เฮ้อ (คำอุทานแสดงความเสียใจ/ผิดหวัง)
哎	āi	interj	เอ๊ะ/เฮ้ (คำอุทานเรียกความสนใจ)
爱护	àihù	v	ทะนุถนอม, ดูแลเอาใจใส่
哎呀	āiyā	interj	อุ๊ย (คำอุทาน)
暗	àn	adj	มืด
安	ān	adj/v	สงบ, ปลอดภัย; ติดตั้ง
安全带	ānquándài	n	เข็มขัดนิรภัย
安慰	ānwèi	v/adj	ปลอบใจ, ปลอบโยน
安装	ānzhuāng	v	ติดตั้ง
熬夜	áoyè	v	อดนอน, นอนดึก
白	bái	adj/adv	ขาว
傍晚	bàngwǎn	n	พลบค่ำ, ตอนเย็น
半夜	bànyè	num+mw/n	เที่ยงคืน, กลางดึก
薄	báo	adj	บาง
宝	bǎo	n	ของมีค่า, สมบัติ
保	bǎo	v/n	ปกป้อง, รักษา
保安	bǎo'ān	v/n	ยาม, รปภ.
宝贝	bǎobèi	n	ที่รัก, ของล้ำค่า
保持	bǎochí	v	รักษาไว้, คงไว้
保存	bǎocún	v	เก็บรักษา, บันทึก
报到	bàodào	v	รายงานตัว, เช็คอิน
报道	bàodào	v/n	รายงานข่าว, ข่าว
报告	bàogào	v/n	รายงาน
宝贵	bǎoguì	adj	ล้ำค่า, มีค่ามาก
包裹	bāoguǒ	v/n	ห่อของ, พัสดุ
包含	bāohán	v	ประกอบด้วย, รวมถึง
报警	bàojǐng	v	แจ้งความ, แจ้งเหตุด่วน
包括	bāokuò	v	รวมถึง
保留	bǎoliú	v	สงวนไว้, เก็บไว้
保险	bǎoxiǎn	n/adj	ประกันภัย; มั่นใจได้
暴雨	bàoyǔ	n	ฝนตกหนัก
抱怨	bàoyuàn	v	บ่น, ร้องเรียน
保质期	bǎozhìqī	n	อายุการเก็บรักษา
包装	bāozhuāng	v/n	บรรจุภัณฑ์, ห่อของ
把握	bǎwò	v/n	มั่นใจ, กุมความแน่นอน
背	bèi	n/v/adj	หลัง (ร่างกาย); ท่องจำ
背后	bèihòu	n	ข้างหลัง
背景	bèijǐng	n	พื้นหลัง, ภูมิหลัง
